"","x","y","ISO3","HV001","REGCODE","IsRural","cattle","goat","sheep","chicken"
"1577",34.987693,-0.550913,"KEN",993,8,1,0.619047619047619,0.428571428571429,0.0476190476190476,0.714285714285714
"1578",34.964385,-0.638539,"KEN",994,8,1,0.863636363636364,0.136363636363636,0.0454545454545455,0.772727272727273
"1579",34.962564,-0.617678,"KEN",995,8,0,0.826086956521739,0.173913043478261,0,0.826086956521739
"1580",34.946663,-0.584788,"KEN",996,8,0,0.826086956521739,0.260869565217391,0.130434782608696,0.782608695652174
"1581",34.938426,-0.572132,"KEN",997,8,0,0.333333333333333,0,0,0.333333333333333
"1582",34.937634,-0.55456,"KEN",998,8,0,0.272727272727273,0.0454545454545455,0,0.363636363636364
"1583",34.903756,-0.615024,"KEN",999,8,1,0.736842105263158,0,0,0.789473684210526
"1584",34.915042,-0.640455,"KEN",1000,8,1,0.44,0.2,0.16,0.52
"1585",34.862892,-0.663048,"KEN",1001,8,1,0.260869565217391,0.0869565217391304,0.0434782608695652,0.478260869565217
"1586",34.870032,-0.73235,"KEN",1002,8,1,0.708333333333333,0.166666666666667,0,0.833333333333333
"1587",34.911907,-0.62325,"KEN",1003,8,1,0.583333333333333,0.125,0,0.583333333333333
"1588",34.85385,-0.638252,"KEN",1004,8,1,0.736842105263158,0.315789473684211,0.0526315789473684,0.631578947368421
"1589",35.02299,-0.795502,"KEN",1005,8,1,0.347826086956522,0.0434782608695652,0.0434782608695652,0.434782608695652
"1590",35.022081,-0.75192,"KEN",1006,8,0,0.181818181818182,0.136363636363636,0.0454545454545455,0.318181818181818
"1591",35.045977,-0.809332,"KEN",1007,8,1,0.636363636363636,0.272727272727273,0.136363636363636,0.636363636363636
"1592",35.047133,-0.702665,"KEN",1008,8,1,0.652173913043478,0.304347826086957,0,0.869565217391304
"1593",35.578603,3.113007,"KEN",1009,5,0,0.19047619047619,0.285714285714286,0.333333333333333,0.285714285714286
"1594",35.602122,3.124973,"KEN",1010,5,0,0.130434782608696,0.217391304347826,0.217391304347826,0.173913043478261
"1595",35.602587,3.146892,"KEN",1011,5,0,0,0.277777777777778,0.166666666666667,0.166666666666667
"1596",35.618762,3.080552,"KEN",1012,5,0,0,0.227272727272727,0.0454545454545455,0.0909090909090909
"1597",35.734787,3.129842,"KEN",1013,5,0,0,0.6,0.2,0.32
"1598",36.04941,2.758791,"KEN",1014,5,1,0,0.5,0.458333333333333,0
"1599",34.977289,3.016744,"KEN",1015,5,1,0,0.956521739130435,0.347826086956522,0.0869565217391304
"1600",34.626478,2.947348,"KEN",1016,5,1,0.647058823529412,0.705882352941177,0.588235294117647,0
"1601",35.805065,3.646151,"KEN",1017,5,1,0,0.578947368421053,0.315789473684211,0.315789473684211
"1602",35.17873,2.941647,"KEN",1018,5,1,0,0.916666666666667,0.166666666666667,0.333333333333333
"1603",35.130607,2.698301,"KEN",1019,5,1,0.181818181818182,0.954545454545455,0.590909090909091,0.318181818181818
"1604",35.191933,3.32035,"KEN",1020,5,1,0.0833333333333333,1,0.416666666666667,0
"1605",35.727812,4.240608,"KEN",1021,5,1,0.0869565217391304,0.652173913043478,0.173913043478261,0.434782608695652
"1606",35.901381,4.297217,"KEN",1022,5,1,0.0454545454545455,0.454545454545455,0.227272727272727,0.227272727272727
"1607",35.861537,4.443671,"KEN",1023,5,1,0.294117647058824,0.941176470588235,0.823529411764706,0.0588235294117647
"1608",35.461165,4.568669,"KEN",1024,5,1,0.136363636363636,0.409090909090909,0.227272727272727,0.0909090909090909
"1609",34.730511,3.30417,"KEN",1025,5,1,0,0.954545454545455,0.772727272727273,0
"1610",34.664094,3.655048,"KEN",1026,5,1,0.0909090909090909,0.818181818181818,0.545454545454545,0
"1611",34.83924,3.738812,"KEN",1027,5,0,0,0,0,0
"1612",34.856792,3.518869,"KEN",1028,5,1,0.125,0.875,0.583333333333333,0.0833333333333333
"1613",34.870038,3.71427,"KEN",1029,5,0,0.0869565217391304,0.260869565217391,0.0434782608695652,0.130434782608696
"1614",35.353208,3.579568,"KEN",1030,5,1,0,0.333333333333333,0.0416666666666667,0.166666666666667
"1615",34.349824,4.194907,"KEN",1031,5,0,0.0454545454545455,0.227272727272727,0.227272727272727,0
"1616",34.334697,4.21766,"KEN",1032,5,0,0.0833333333333333,0.208333333333333,0.166666666666667,0
"1617",36.07746,1.852291,"KEN",1034,5,1,0.28,0.76,0.56,0.44
"1618",36.163667,2.195259,"KEN",1035,5,1,0.0833333333333333,0.958333333333333,0.583333333333333,0.416666666666667
"1619",35.981429,1.59809,"KEN",1036,5,1,0,0.476190476190476,0.238095238095238,0.19047619047619
"1620",35.750065,2.552646,"KEN",1037,5,1,0,0.708333333333333,0.583333333333333,0.125
"1621",35.64378,2.941321,"KEN",1038,5,1,0.0416666666666667,1,0.583333333333333,0.0416666666666667
"1622",35.391118,2.167778,"KEN",1039,5,1,0.0833333333333333,0.166666666666667,0.0833333333333333,0.125
"1623",35.515422,2.25802,"KEN",1040,5,1,0.08,0.4,0.32,0.2
"1624",35.075979,1.342811,"KEN",1041,5,0,0.739130434782609,0.608695652173913,0.478260869565217,0.954545454545455
"1625",35.118504,1.23985,"KEN",1042,5,0,0.272727272727273,0.0454545454545455,0.181818181818182,0.454545454545455
"1626",35.107209,1.260869,"KEN",1043,5,0,0.136363636363636,0.136363636363636,0.0454545454545455,0.227272727272727
